"NTD ID","Agency","City","State","UPT","MILES","Mode","Fuel_Type","Fuel_Consumption","EIA_Fuel","CO2_Per_Unit_Pounds","CO2_MWh.x","CO2_Diesel","CO2_Gasoline","CO2_CNG","CO2_LPG","CO2_Electric","Total_CO2","CO2_MWh.y","primary_source","electricity_price_MWh","generation_MWh","abbreviation","CO2_per_UPT","CO2_per_MILE","Agency_Size"
1,"King County, dba: King County Metro","Seattle","WA",78886848,301530502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Large"
2,"Spokane Transit Authority","Spokane","WA",9403739,46318134,"Demand Response","Bio-Diesel",0,NA,0,805.370310197789,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,"Small"
2,"Spokane Transit Authority","Spokane","WA",9403739,46318134,"Demand Response","Bunker Fuel",0,NA,0,805.370310197789,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,"Small"
2,"Spokane Transit Authority","Spokane","WA",9403739,46318134,"Demand Response","C Natural Gas",0,NA,0,805.370310197789,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,"Small"
2,"Spokane Transit Authority","Spokane","WA",9403739,46318134,"Demand Response","Diesel Fuel",131642,NA,0,805.370310197789,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,"Small"
2,"Spokane Transit Authority","Spokane","WA",9403739,46318134,"Demand Response","Electric Battery",0,NA,0,805.370310197789,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,"Small"
2,"Spokane Transit Authority","Spokane","WA",9403739,46318134,"Demand Response","Electric Propulsion",0,NA,0,805.370310197789,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,"Small"
2,"Spokane Transit Authority","Spokane","WA",9403739,46318134,"Demand Response","Ethanol",0,"Data source: Carbon factors provided by the U.S. Environmental Protection Agency, Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2022, Tables A-20, A-25, A-32, and A-226aExcludes fuel ethanol blended into motor gasoline. The fuel ethanol component of finished motor gasoline is treated as nonemissive. See methodology documentation for further details on calculations.bCarbon factors for municipal solid waste, tire-derived fuel, and waste oil are provided by the U.S. Environmental Protection Agency, Greenhouse Gas Emissions Factor HubcThe carbon factor for municipal solid waste has been adjusted to apply both to biogenic and non-biogenic waste
          Note: To convert to carbon equivalents multiply by 12/44.
          
          Coefficients may vary slightly with estimation method and across time.
			
			Coefficients are based on data from 2022. EIA uses these coefficients for estimating 2023, and more recent, energy-related CO2 emissions.",0,805.370310197789,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,"Small"
2,"Spokane Transit Authority","Spokane","WA",9403739,46318134,"Demand Response","Methonal",0,NA,0,805.370310197789,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,"Small"
2,"Spokane Transit Authority","Spokane","WA",9403739,46318134,"Demand Response","Gasoline",152360,"Finished Motor Gasoline",18.73,805.370310197789,0,2853702.8,0,0,0,2853702.8,NA,NA,NA,NA,NA,0.303464696329832,0.0616109189545503,"Small"
2,"Spokane Transit Authority","Spokane","WA",9403739,46318134,"Demand Response","Hydrogen",0,NA,0,805.370310197789,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,"Small"
2,"Spokane Transit Authority","Spokane","WA",9403739,46318134,"Demand Response","Kerosene",0,"Kerosene",21.78,805.370310197789,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,"Small"
2,"Spokane Transit Authority","Spokane","WA",9403739,46318134,"Demand Response","Liquified Nat Gas",0,NA,0,805.370310197789,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,"Small"
2,"Spokane Transit Authority","Spokane","WA",9403739,46318134,"Demand Response","Liquified Petroleum Gas",0,NA,0,805.370310197789,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,"Small"
2,"Spokane Transit Authority","Spokane","WA",9403739,46318134,"Motor Bus","Bio-Diesel",0,NA,0,805.370310197789,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,"Small"
